"filename", "language", "JSON", "Ini", "JavaScript", "PHP", "CSS", "HTML", "Log", "Markdown", "comment", "blank", "total"
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-az.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 6, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-ba.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-be.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 6, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-bg.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-ca.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 6, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-cs.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 4, 3, 29
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-da.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 7, 3, 36
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-de.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 4, 3, 29
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-el.php", "PHP", 0, 0, 0, 27, 0, 0, 0, 0, 4, 3, 34
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-eo.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 4, 3, 27
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-es.php", "PHP", 0, 0, 0, 23, 0, 0, 0, 0, 6, 3, 32
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-et.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 6, 3, 29
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-fa.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 6, 3, 29
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-fi.php", "PHP", 0, 0, 0, 13, 0, 0, 0, 0, 12, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-fo.php", "PHP", 0, 0, 0, 13, 0, 0, 0, 0, 12, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-fr.php", "PHP", 0, 0, 0, 27, 0, 0, 0, 0, 8, 3, 38
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-gl.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 6, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-he.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 6, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-hi.php", "PHP", 0, 0, 0, 27, 0, 0, 0, 0, 6, 3, 36
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-hr.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-hu.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-hy.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-id.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 7, 3, 32
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-it.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 6, 3, 29
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-ja.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 7, 3, 30
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-ka.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-ko.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-lt.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 6, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-lv.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 6, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-mg.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-mn.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-ms.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-nb.php", "PHP", 0, 0, 0, 27, 0, 0, 0, 0, 4, 3, 34
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-nl.php", "PHP", 0, 0, 0, 27, 0, 0, 0, 0, 5, 3, 35
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-pl.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 4, 3, 27
"c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\language\phpmailer.lang-pt.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 5, 3, 28
